year	player	age	g	mp	per	ts	3par	ftr	orb	drb	trb	ast	stl	blk	tov	usg	ows	dws	ws	ws_48	obpm	dbpm	bpm	vorp	game_win	mvp_label
1986	Larry Smith	28	77	2441	13.4	0.539	0.002	0.387	16.4	21.8	19	4.9	1.2	1.1	16.4	13.2	2.7	1.6	4.3	0.085	0.6	0.4	1	1.9	30	0
1986	Purvis Short	28	64	2427	19.1	0.547	0.037	0.309	5.4	9.4	7.3	14.8	1.7	0.5	11	27.1	4.9	0.9	5.7	0.113	2.7	-1.5	1.2	1.9	30	0
1986	Terry Teagle	25	82	2158	14.2	0.542	0.026	0.277	4.6	7.3	5.9	7.6	1.5	0.9	11.2	22	2.5	0.6	3.1	0.069	-0.1	-1.8	-2	0	30	0
1986	Greg Ballard	31	75	1792	13.4	0.529	0.061	0.221	7.7	17.9	12.6	6	1.7	0.2	7.9	14.9	2.6	1	3.6	0.097	-0.1	-0.7	-0.7	0.6	30	0
1986	Chris Mullin	22	55	1391	16	0.539	0.044	0.34	3.2	5.9	4.5	10.5	2.3	0.9	9.5	22.2	2.3	0.6	2.9	0.1	0.5	-1.6	-1.1	0.3	30	0
1986	Geoff Huston	28	82	1208	13.7	0.55	0.022	0.337	0.9	5.1	2.9	35.1	1.4	0.2	20.9	12.9	1.7	0.1	1.8	0.072	-1.9	-4.3	-6.1	-1.3	30	0
1986	Jerome Whitehead	29	81	1079	7.9	0.463	0	0.33	9.1	24.4	16.5	2.2	0.8	1	16	14.6	-0.4	0.7	0.3	0.013	-4.6	-1.9	-6.5	-1.2	30	0
1986	Pete Verhoeven	26	61	749	10.1	0.554	0.012	0.257	9.1	14.3	11.6	4.8	1.8	1.2	13.9	11.3	0.7	0.5	1.2	0.076	-1	-0.1	-1.1	0.2	30	0
1986	Peter Thibeaux	24	42	531	9.5	0.455	0.021	0.206	5.5	10	7.7	7.2	2	1.6	13.3	21.7	-0.5	0.3	-0.2	-0.015	-3.5	-1.3	-4.8	-0.4	30	0
1986	Lester Conner	26	36	413	12.8	0.451	0.051	0.397	6.3	10.1	8.1	13	2.7	0.1	8.6	16.6	0.3	0.2	0.5	0.061	-1	-0.7	-1.7	0	30	0
1986	Guy Williams	25	5	25	8.5	0.458	0	1.2	0	27	13	0	1.8	4.4	0	12	0	0	0	0.079	-6.9	-1.9	-8.8	0	30	0
1986	Ron Crevier	27	1	1	-31.1	0	0	0	0	0	0	0	0	0	0	39.3	0	0	0	-0.865	-28.1	-10.2	-38.3	0	30	0
